594
1;5;16;19;2;1964;B025OB;0
2;3;14;23;6;1970;B025OB;1
3;32;2;2;9;2007;B025OB;1
4;41;5;18;6;1916;B025OB;0
5;44;19;25;7;1976;H579XE;1
6;1;3;9;5;1977;M451HT;0
7;18;17;4;3;1964;H433BB;0
8;11;20;21;6;1905;H433BB;1
9;36;22;1;11;2032;H433BB;1
10;7;12;27;4;1916;X610ET;0
11;23;23;21;8;1970;X610ET;1
12;2;23;1;9;2013;X610ET;0
13;41;5;19;5;1944;P552ET;1
14;20;5;2;3;1915;P552ET;0
15;15;21;4;10;1927;P552ET;0
16;44;3;15;3;2024;E756MA;1
17;27;0;19;10;1969;E756MA;1
18;42;21;21;6;1956;H126TX;0
19;4;12;4;8;1988;H126TX;1
20;18;9;26;7;1994;H126TX;1
21;42;10;28;5;1916;H126TX;0
22;34;12;4;10;1916;H126TX;0
23;40;6;19;6;2015;K067BE;0
24;34;21;26;4;1929;K067BE;1
25;39;8;17;8;1995;K067BE;0
26;31;3;22;3;1913;K067BE;0
27;13;4;28;1;2026;K067BE;0
28;27;8;15;8;2027;Y610BC;0
29;56;13;19;2;1987;Y610BC;1
30;57;17;15;6;1939;Y610BC;0
31;20;12;23;8;1985;Y610BC;0
32;38;8;14;10;1905;Y610BC;0
33;42;10;8;1;1996;T662YA;0
34;11;9;9;11;2031;T662YA;0
35;50;10;14;2;1969;T662YA;0
36;39;15;28;1;2046;T662YA;0
37;12;4;18;1;1962;A801YO;0
38;48;21;16;3;2028;A801YO;1
39;38;12;5;10;1952;A801YO;1
40;11;17;9;5;2048;Y146CP;0
41;33;5;5;7;1986;Y146CP;1
42;26;16;3;10;2038;Y146CP;1
43;12;14;11;4;1934;Y146CP;0
44;49;22;12;11;1916;K964CK;0
45;18;6;19;2;1995;K964CK;1
46;50;3;9;1;2017;K964CK;0
47;33;19;20;3;1955;O813KP;0
48;38;17;25;6;1919;M756AM;0
49;29;19;19;11;1974;B797YC;0
50;36;19;26;2;1903;B797YC;1
51;28;18;12;4;1908;B797YC;1
52;5;11;15;4;2008;B797YC;0
53;10;6;3;6;1903;Y216OM;0
54;33;4;14;7;2046;E071YC;1
55;33;20;4;1;1902;E071YC;1
56;21;0;19;8;1972;E071YC;0
57;31;12;28;11;1921;B722HE;0
58;41;21;18;9;1980;X735MY;1
59;20;7;17;11;1961;X735MY;0
